JDLid,name,class,heat
J20332,北村 孝徳,open,1
J20331,小野寺 航,open,1
J20328,長田 和徳,open,1
J17018,杉山 健一,open,2
J19201,大坪 洋人,open,2
J20329,福岡 真,open,2
J20313,森谷 智之,open,3
J19254,清 零虹,open,3
J19232,田向 義和,open,3
J20318,多々良 秀史,open,4
J20321,吉朝 洋文,open,4
J20319,横山 大介,open,4
J19257,八島 伸行,open,5
J17032,小池 卓三,open,5
J20320,大松澤 伸哉,open,5
J20302,下 健児,open,6
J17063,松本 英三郎,open,6
J20323,宮本 翼,open,6
J17019,新藤 正,open,7
J17087,浅井 章喜,open,7
J19204,清 正憲,open,7
J19231,渡辺 憲仁,open,8
J19227,千葉 秀之,open,8
J20303,梅原 麻妃,open,8
J20326,鈴木 嘉晃,open,9
J17004,藤山 貴敬,open,9
J19203,松本 麻希,open,9
J17048,八城 徳吉,open,10
J19229,下鳥 遼,open,10
J17024,永塚 正樹,open,10
J17006,音田 哲男,expert,11
J17014,上野 まさひろ,expert,11
J18114,百瀬 徹,expert,11
J18103,小松 良誠,expert,12
J19211,倉岡 幸博,expert,12
J19213,木脇 文裕,expert,12
J19255,鈴木 隼人,expert,13
J18106,冨谷 利光,expert,13
J19250,清水 友理香,expert,13
J20317,山本 悠貴,expert,14
J17092,井上 正行,expert,14
J17080,白石 麻衣,expert,14
J17039,逸見 鈴利,expert,15
J19260,上関 桜雅,expert,15
J17001,井上 裕二,expert,15
J19228,齋藤 三佳,expert,16
J17017,小河 匡史,expert,16
J17007,高橋 亨,expert,16
J20322,久安 孝典,expert,17
J19206,松留 貴文,expert,17
J20304,大岩 宏年,expert,17
J20324,高橋 元,expert,18
J17074,佐瀬 英治,expert,18
J17013,三浦 喜徳,expert,18
J17023,松橋 伸行,expert,19
J17068,村上 元章,expert,19
J17090,倉橋 幸慎,expert,19
J17009,中村 敦,expert,20
J19218,螻川内 努,expert,20
J18126,中川 絵梨,expert,20
J19258,榊原 諒太,expert,21
J17021Pro,鈴木  匠,expert,21
,,expert,21
J18129Pro,高野 奏多,pro,22
J19248Pro,石村 圭史,pro,22
J19212Pro,犬飼 豊紀,pro,22
J19205Pro,犬飼 明範,pro,23
J19214Pro,小塚 研采,pro,23
J17030Pro,岡 聖章,pro,23
J19237Pro,矢田 篤幹,pro,24
J17070Pro,上関 風雅,pro,24
J19225Pro,岡 貴司,pro,24
J17040Pro,小山 智彦,pro,25
J17037Pro,須藤 公貴,pro,25
J17071Pro,川田 和輝,pro,25